Time,value,variable
15,1.715402475,Macroinvertebrates
16,-0.275868941,Macroinvertebrates
17,-1.57091463,Macroinvertebrates
18,-0.788819964,Macroinvertebrates
19,-1.069434869,Macroinvertebrates
20,-0.023847049,Macroinvertebrates
21,-0.256940931,Macroinvertebrates
22,-0.426839968,Macroinvertebrates
23,-1.173231663,Macroinvertebrates
24,-0.757403768,Macroinvertebrates
25,0.201274742,Macroinvertebrates
26,0.228566885,Macroinvertebrates
27,-0.950088111,Macroinvertebrates
28,-0.275868941,Macroinvertebrates
29,-0.464580296,Macroinvertebrates
30,-0.757403768,Macroinvertebrates
31,-0.095672783,Macroinvertebrates
32,-2.113238921,Macroinvertebrates
